Name,Former names,Established,President,Academic staff,Administrative staff,Students,Address,Campus,Colours,Affiliations,Website,ASN,Motto,Motto in English,Religious affiliation,Academic affiliations,Endowment,Chancellor,Colors,Type,Chairperson,Location,Nickname,Mascot,"Chair, Board of Governors",Former name,Campuses,Affiliation,Sporting affiliations,Director
Yellowquill University College,,1984,,,,200 (2012),,"Urban 480 Madison St, Winnipeg",yellow & blue,"Dakota Ojibway Tribal Council, CICan , CCAA , AUCC , MFNERC",www .yellowquill .org,,Specializing in First Nation & Aboriginal Education and Training,,,,,,,First Nation owned comprehensive community college,,"Winnipeg , Manitoba , Canada",,,,,,,,Bobbi Pompana
Collège communautaire du Nouveau-Brunswick,,1970,,,,,,,,,http://ccnb.ca,,vision • passion • succès,,,,,,,Public community college,,"Bathurst , Campbellton , Dieppe , Edmundston and Acadian Peninsula , New Brunswick , Canada",,,,,,,,
Maritime College of Forest Technology,,1946,,,,,,Urban,Green & white,"AUCC , IAU , CIS , AUS , AUFSC",www .mcft .ca,,,,,,,,,post-secondary college,,"Fredericton and Bathurst , New Brunswick , Canada 45°55′59″N 66°39′24″W / 45.9331°N 66.6566°W / 45.9331; -66.6566 (Fredericton location)",,,,,,,,
McKenzie College,,1988 ( 1988 ),,,,,,Urban,,,www .mckenzie .edu,,,,,,,,,Private,,"Moncton , New Brunswick , Canada",,,,,,,,
New Brunswick College of Craft and Design,,1950 ( 1950 ),,70,,282 citation needed,,Urban,,,www .nbccd .ca,,,,,,,,,Public,,"Fredericton , New Brunswick , Canada",,,,,,,,
New Brunswick Community College,,1974,,750 full-time & 80 part-time (including staff) citation needed,,"4,000+ regular, 10,000+ continuing studies citation needed",,Urban,,,www .nbcc .ca,,,,,"CCAA , ACCC , AUCC , CBIE",,,,Public community college,,"Miramichi , Moncton , Fredericton (its head office 1 ), Saint John , St. Andrews and Woodstock , New Brunswick , Canada 45°57′41.48″N 66°39′13.69″W / 45.9615222°N 66.6538028°W / 45.9615222; -66.6538028",,,,,,,,
Oulton College,,1956 ( 1956 ),Darcie Robichaud,,,700+ 1,"4 Flanders Court , Moncton , New Brunswick , Canada",Urban,,National Association of Career Colleges,www .oultoncollege .com,,"""Your Future Starts Here""",,,,,,,Private,,,,,,,,,,
College of the North Atlantic,,1997,Elizabeth (Liz) Kidd,,,"7,000 full time; 1,100 part-time (rounded)",,17 urban/suburban,Cyan & Orange & Magenta & Green & Yellow & Red,"CiCan , AUCC , CBIE",www .cna .nl .ca,,,,,,,,,Public college,,"Headquarters: Stephenville , Newfoundland and Labrador , Canada",,,,,,,,
Aurora College,,1981 (as Thebacha College) 1984 (as Arctic College) 1995 (as Aurora College),Thomas Weegar 1,50,200,"2,915 2","Aurora Campus #87 Gwich'in Road, Box 1008 Inuvik, NT X0E 0T0; Thebacha Campus 50 Conibear Crescent, Box 600 Fort Smith, NT X0E 0P0; Yellowknife Campus, 5004-54th Street, Northern United Place, Bag Service 9700 Yellowknife, NT X1A 2R3 , Fort Smith , Northwest Territories , Canada 68°21′33.00″N 133°43′05.55″W68.3591667°N 133.7182083°W68.3591667; -133.7182083","small, remote communities",blue & White,Universities Canada Canadian Collegiate Athletic Association Association of Canadian Community Colleges International Association of Universities Canadian Interuniversity Sport University of the Arctic Association of Commonwealth Universities,www.auroracollege.nt.ca,,,,,,,,,Community College,,,,,,,,,,
Collège nordique francophone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Coast Guard College,,1965,,,,,,Urban,,,http://www.ccg-gcc.gc.ca/College,,"Nil sin cura (""Attention to detail"")",,,,,,,,,"Westmount , Nova Scotia , Canada",,,,,,,,
Gaelic College,,1938,Rodney MacDonald,,,,,Cabot Trail,Red & black,,www.gaeliccollege.edu,,,,,,,,,Educational institution,,"St. Ann's , Nova Scotia , Canada 46°12′49″N 60°36′20″W / 46.21361°N 60.60556°W / 46.21361; -60.60556",,,,,,Non-denominational,,
Nova Scotia Community College,,1996,Don Bureaux 1,"1,400 citation needed",,"10,843 fulltime, 20,000 total 2",,"Halifax, Dartmouth, Amherst, Springhill, Kentville, Bridgewater, Sydney, Stellarton, Shelburne, Port Hawkesbury, Truro, Middleton, Lawrencetown, Yarmouth, Digby, Wagmatcook",Blue,,www .nscc .ca,,,,,"Colleges and Institutes Canada , Centre for Ocean Ventures & Entrepreneurship (COVE) , ONE Nova Scotia Coalition , Research Nova Scotia , CBIE, CCAA , ACCC , AUCC",,,,Public Community College,,"13 campuses and three community learning centres throughout Nova Scotia , Canada 44°40′09″N 63°36′48″W / 44.6692°N 63.6134°W / 44.6692; -63.6134",,,,,,,,
Nunavut Arctic College,,"January 1, 1995 ; 29 years ago ( 1995-01-01 )",Rebecca Mearns (acting) 1 2,,,,,"Urban/Suburban/Remote. Nunatta Campus, Kitikmeot Campus, Kivalliq Campus and 24 Community Learning Centres.",Blue White,"CCAA , ACCC , AUCC , IAU , CIS , UArctic , ACU",https://www.arcticcollege.com/,,,,,,,,,Community college,,"Iqaluit , Nunavut , Canada 63°43′39.41″N 68°26′40.42″W / 63.7276139°N 68.4445611°W / 63.7276139; -68.4445611",,,,,,,,
Algonquin College,,1967,Claude Brulé,,"1,151 full time","19,000 full-time; 37,000 part-time (2020: 18,412 FTEs) 1","1385 Woodroffe Avenue Ottawa , Ontario K2G 1V8 45°20′48.97″N 75°45′33.79″W45.3469361°N 75.7593861°W45.3469361; -75.7593861",Urban,green and white,"CCAA , ACCC , AUCC , CBIE, Polytechnics Canada",algonquincollege.com,,"Your goals, your career, your college",,,,,,,Public,,,Algonquin Wolves,Thor the Wolf,,,,,,
Cambrian College,,1967 ; 57 years ago ( 1967 ),Kristine Morrissey,,,"3,174 FTEs (2020) 1",,Urban,Burgundy,"CCAA , ACCC , AUCC ,",cambriancollege.ca,,,,,,,,,Public College of Applied Arts and Technology,,"Sudbury , Ontario , Canada",Golden Shield,Burnie the Dragon,,,,,,
Canadore College,,1972,George Burton,,,"3,500 (2020: 2,454 FTEs) 2","100 College Drive, P.O. Box 5001 North Bay, Ontario P1B 8K9 , North Bay and Parry Sound , Ontario , Canada","Canadore College has four campuses: Aviation Technology Campus, Commerce Court Campus, and the Education Centre (College Drive Campus) in North Bay, Ontario, one campus in West Parry Sound, Ontario, and two campuses in the GTA – Canadore at Stanford.",,"CCAA , ACCC , AUCC , CBIE, CUP .",canadorecollege .ca,,Great Things Happen Here,,,,,,,Public College of Applied Arts and Technology,,,,Panther,,,,,,
Centennial College,,1966 ; 58 years ago ( 1966 ),Craig Stephenson,,,"26,000 full-time; 19,000 part-time (2020: 11,124 FTEs) 1",,Urban,Green,,centennialcollege.ca,,Transforming lives and communities through learning,,,,,,,Public college,,"Toronto , Ontario , Canada",Colts,Bolt the Colt,,,,,CCAA,
Collège Boréal,,1995,Daniel Giroux,,,"9 155 in 2012–2013 (2020: 1,224 FTEs) 1","21 Lasalle Boulevard Sudbury , Ontario, Canada P3A 6B1 46°31′2.02″N 80°59′35.88″W46.5172278°N 80.9933000°W46.5172278; -80.9933000",Across Ontario,Black & white,,www.collegeboreal.ca,,Nourrir le savoir; faire vibrer la culture,,,"ACUFC , CICan",,,,College of applied arts and technology,,,Vipères,,,,,,"OCAA , CCAA",
Conestoga College,,1967,John Tibbits,,,"11,000 full-time; 30,000 part-time (2020: 10,536 FTEs) 2",,Urban,Navy and red,"CCAA , ACCC , AUCC , OCAA , CBIE, Polytechnics Canada",Official website,,,,,,,,,Public,,"Kitchener , Ontario , Canada",,Condor,,,,,,
Confederation College,,1967,Kathleen Lynch,,,"3,400 full-time, 4,205 part-time (2020: 2,314 FTEs) 1","P.O. Box 398, 1450 Nakina Drive , Thunder Bay , Ontario , Canada",Urban,Red and Blue,"ACCC , CCAA , CSA , CBIE, CUP , Negahneewin College",www.confederationcollege.ca,,,,,,$4.7 million,,,,,,,,,,,,,
Durham College,,1967,Elaine Popp,,,"More than 12,000",,Urban,Black & green,,www .durhamcollege .ca,,Success matters,,,"CBIE, ACCC , AUCC",,,,Public,,"Oshawa , Ontario , Canada 43°56′38″N 78°53′49″W / 43.94389°N 78.89694°W / 43.94389; -78.89694",Lords,Lord Durham,,,,,CCAA,
Fanshawe College,,1967,Peter Devlin,441 full-time,,"(2020: 13,479 FTE students) 1",,Urban,Red gray,CBIE CCAA ACCC AUCC CUP,fanshawec.ca,,Unlocking Potential,,,,,,,Public,,"London , Ontario , Canada",,Freddie the Falcon,,,,,,
Fleming College,,1967,Maureen Adamson,,,"2020: 4,476 FTEs 2",,Urban,Black Turquoise Orange Red Blue Green,"ACCC , CCAA , Peterborough Centennial Museum & Archives",flemingcollege .ca,,Let the Deed Shaw/Show 1 (former) Apply Yourself Here,,,,,,,Public College of Applied Arts and Technology,,"Peterborough , Ontario , Canada",,,,,,,,
George Brown College,,1967,Dr. Gervan Fearon 2,,,"27,128 full-time and 58,119 continuing education registrants (2020: 15,752 FTEs) 3",,Urban,Blue and white,"CCAA , ACCC , AUCC , CBIE, Polytechnics Canada , CUP .",georgebrown .ca,,,,,,,,,Public,,"Toronto , Ontario , Canada",,,,,,,,
Georgian College,,1967,Kevin Weaver,,,"13,000 full-time; including 4,500 international 1 (2020: 10,169 FTEs) 2","1 Georgian Drive , Barrie , Ontario , Canada",Urban,Blue & green,,georgiancollege .ca,,Accelerate your success citation needed,,,"CCAA , ACCC , CBIE",,,,Public,,,Grizzlies,Grizzly Growler,,,,,,
Humber College,,1967 ; 57 years ago ( 1967 ),Ann Marie Vaughan,"3,400",,"86,000 total learners 1",,Urban,Gold and blue,"CCAA , ACCC , AUCC , CBIE, Polytechnics Canada",www .humber .ca,,We Are Humber,,,,,,,Public,,"Toronto , Ontario , Canada",,Howie the Hawk,,,,,,
La Cité collégiale,,1989,Lise Bourgeois,,,"5,000 (2020: 1,224 FTEs) 1",,Central,Green & black,,www .collegelacite .ca,,,,,"ACCC , AUCC , CBIE",,,,Public college of applied arts and technology,,"Ottawa, Ontario , Canada",The Coyotes,Coyote,,,,,CCAA,
Lambton College,,1969,"Rob Kardas, President & CEO",,,"over 3,500 full-time, over 6,500 part-time, 500 international (on campus), over 3,500 international (off shore), 600 apprenticeship 2 3 (2020: 2,211 FTEs) 4","1457 London Road Sarnia , Ontario N7S 6K4 42°58′49.89″N 82°20′54.91″W42.9805250°N 82.3485861°W42.9805250; -82.3485861",Urban,White and Blue,"CCAA , ACCC , AUCC , CBIE",www .lambtoncollege .ca,,Connect,,,,,,,Public College of Applied Arts and Technology,,,,Pounce,,,,,,
Loyalist College,,1967,Mark Kirkpatrick 1,,,"2,253 FTEs (2020) 2",,"Belleville , Bancroft , Port Hope",Red and blue,"CCAA , ACCC , AUCC , CBIE",www.loyalistcollege.com,,,,,,,,,Public,,"Belleville , Ontario , Canada",,,,,,,,
Mohawk College,,1966 ( 1966 ),Ron McKerlie,,"1,100","30,000 3 (2020: 10,739 FTEs) 4",,Urban,"Burgundy, crimson, and orange",,www .mohawkcollege .ca,,Latin : Scientia Opus Omnium,,,,CA$ 232 million (2021) 1,,,Public,,"Hamilton , Ontario , Canada 43°14′17.6″N 79°53′8.48″W / 43.238222°N 79.8856889°W / 43.238222; -79.8856889",The Mountaineers,Mo the Hawk,,,,,Badminton Basketball Cross Country Curling Fastball Golf Rugby Soccer Volleyball,
Niagara College,,1967 ( 1967 ),Sean Kennedy,,,,,Urban / Rural,Blue & White,"CCAA , ACCC , AUCC , CBIE",niagaracollege.ca,,Applied Dreams,,,,,,,Public,,"Welland Niagara-on-the-Lake Toronto , Ontario , Canada",Knights,"""Knightro"" the Knight",,,,,,
Northern College,,1967,Dr. Audrey Penner 1,79,,"2015 full time, 15,000 part-time and continuing education (2020: 755 FTEs) 2",,"Timmins (Porcupine), Kirkland Lake, Moosonee, and Temiskaming Shores (Haileybury)","brown, green, orange, blue","CCAA , ACCC , AUCC",https://www.northerncollege.ca/,,Proud to be north. Proud to be Northern.,,,,,,,Public College of Applied Arts and Technology,,"Timmins , Ontario , Canada 48°29′17″N 81°11′52″W / 48.48806°N 81.19778°W / 48.48806; -81.19778",,North the Moose,,,,,,
St. Clair College,,1966 ; 58 years ago ( 1966 ),Patricia France,c. 264,,"6,933 FTEs (2020) 2","2000 Talbot Road West  , Windsor Campus , Ontario , Canada",Suburban,"Black, gold, green",,www .stclaircollege .ca,,Start Here. Go Anywhere.,,,,,,,Public college of applied arts and technology,,,Saints,Griffin,,,,"CICan , Colleges Ontario, Canadian Bureau for International Education","CCAA , OCAA",
St. Lawrence College,,1967,Glenn Vollebregt,,829,"4,450 FTEs (2020) 3",,"Kingston , Cornwall , Brockville , Canadian Campus ( Vancouver ), Alpha Campus ( Toronto ) 4 5",Red and Black,"CCAA , ACCC , AUCC , CBIE",stlawrencecollege .ca,,,,,,,,,Public,,"Kingston , Ontario , Canada 44°13′23″N 76°31′37″W / 44.223°N 76.527°W / 44.223; -76.527",Surge,,,,,,,
Sault College,,1965 (originally opened as Ontario Vocational School),David Orazietti,,,"4,500 (2020: 1,395 FTEs) 1",,Suburban,Blue and White,"CCAA , ACCC , AUCC",www.saultcollege.ca,,The education you want and more...,,,,,,,Public College of Applied Arts and Technology,,"Sault Ste. Marie & Brampton , Ontario , Canada",,Cougar,,,,,,
Seneca College,,1966,David Agnew,,,"30,000 full-time and 60,000 part-time annually 1 20,012 FTEs (2020) 2",,Urban,Red,"Colleges Ontario, Canadian Collegiate Athletic Association , Colleges and Institutes Canada , Canadian Bureau for International Education, Polytechnics Canada , Ontario Colleges Athletic Association",www .senecapolytechnic .ca,,,,,,,,,Public,,"Toronto , Ontario , Canada 43°47′44″N 79°20′56″W / 43.79556°N 79.34889°W / 43.79556; -79.34889",The Sting,Sammy Sting,,,,,,
Sheridan College,,1967 ; 57 years ago ( 1967 ),Janet Morrison,,,"15,290 FTEs (2020) 1",,Suburban,,"ACCC , CCAA , CICan , NASAD , CBIE, Polytechnics Canada , CILECT , AACSB",sheridancollege .ca,,"""Get Creative""",,,,,,,Public,,"Brampton Oakville Mississauga , Ontario , Canada 43°28′15.31″N 79°41′45.92″W / 43.4709194°N 79.6960889°W / 43.4709194; -79.6960889",,Bruno the Bruin 2,,,,,,
Collège de l'Île,,1993 ( 1993 ),Sylvain Gagné,,,85,,,,,www .collegedelile .ca,,Ton accès au succès. Pour un horizon à ta façon.,,,,,,,Public community college,Sue LeMaistre,"Prince Edward Island , Canada",,,,Collège Acadie Île-du-Prince-Édouard,,,,
Holland College,,"September 2, 1969 ; 54 years ago ( 1969-09-02 )",Dr. Alexander MacDonald,,634 citation needed,"2,626 FTE (2021) 1",,List Charlottetown Prince of Wales Campus Tourism and Culinary Centre Belmont Centre Summerside Summerside Waterfront Campus Atlantic Police Academy Marine Training Centre Alberton West Prince Campus Three Rivers Georgetown Centre Montague Centre,Purple & Red,,www .hollandcollege .com,,""" You'll Make It Here! """,,,,,,,Public community college,,"Charlottetown , Prince Edward Island , Canada",Holland Hurricanes,,,,,,CCAA – ACAA,
Cégep André-Laurendeau,,1973,,,,5300,"1111, rue Lapierre Montreal, Quebec H8N 2J4  45.43639°N 73.60556°W45.43639; -73.60556",Suburban,Orange and blue,,www .claurendeau .qc .ca,,,,,"ACCC , CCAA , QSSF , AUCC",,,,Public,,,AL* Boomerang,Ideal,,,,,,Claude Roy
LaSalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep Beauce-Appalaches,,1968,,,,,"1055, 116e rue Saint-Georges , Quebec G5Y 3G1",Urban,,,www .cegepba .qc .ca,,Enseignment superieur. Passions...Action! (French),,,"ACCC , CCAA , QSSF , AUCC ,",,,,CEGEP,,,,,,,,,,
Saint-Georges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Baie-Comeau,,1967,,,,,,Urban,Blue and green,,www .cegep-baie-comeau .qc .ca,,Mon milieu de vie! (French),,,ACCC,,,,Public CEGEP,,"Baie-Comeau , Quebec , Canada 49°11′15″N 68°15′33″W / 49.18750°N 68.25917°W / 49.18750; -68.25917",,,,,,,"CCAA , QSSF , AUCC",
Baie-Comeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Chicoutimi,,1967 ( 1967 ),,,,"3,000",,,,,www .cegep-chicoutimi .qc .ca,,,,,,,,,Public,,"Saguenay , Quebec , Canada 48°25′27″N 71°03′07″W / 48.424249°N 71.051954°W / 48.424249; -71.051954",,,,,,,,
Chicoutimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguenay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Drummondville,,"April 15, 1968",,,,,,Urban/suburban,Red and black,,www .cegepdrummond .ca,,,,,ACCC,,,,Public CEGEP,,"960, rue Saint-Georges Drummondville , Quebec , Canada J2C 6A2 45°52′28.39″N 72°30′24.29″W / 45.8745528°N 72.5067472°W / 45.8745528; -72.5067472",Voltigeurs,,,,,non-denominational,"CCAA , QSSF , AUCC",
Drummondville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Granby-Haute-Yamaska,,1968,,,,2800,,Urban,blue,,www .cegepgranby .ca,,,,,ACCC,,,,Public CEGEP,,"Granby , Quebec , Canada",,,,,,,"CCAA , QSSF",
Granby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Jonquière,,1967,,330,,3200,"2505, rue Saint-Hubert Saguenay, Quebec G7X 7W2  48.4060°N 71.2478°W48.4060; -71.2478",Urban,,,www .cegepjonquiere .ca,,,,,,,,,public,,,,,,,,,,
Jonquière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de la Gaspésie et des Îles,,1967,,,,3000,,"Waterfront - Gulf of St. Lawrence, faces Forillon National Park","Blue, white, black",,cegepgim .ca,,Un lieu de formation grandeur nature (French),,,ACCC,,,,Public CEGEP,,"Gaspé , Quebec , Canada",,,,,,,"CCAA ,",Yves Galipeau
Gaspé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de La Pocatière,,1967,,,,"2,000 students 1,000 full-time & 1,000 continuing studies","140, 4e avenue , La Pocatière , Quebec , Canada","Urban, one hour east of Quebec city",,,www .cegeplapocatiere .qc .ca,,Viens changer d'air,,,"ACCC , CCAA ,",,,,Public CEGEP,,,,,,,,,,
La Pocatière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de l'Abitibi-Témiscamingue,,1967,,,,2755: 225 (Amos campus) 1 2000 (Rouyn-Noranda campus) 2 530 (Val-d'Or campus) 3,,"3 Urban/Suburban, campuses in Rouyn-Noranda, Amos and Val-d'Or, Ville-Marie and La Sarre",White & blue,,www .cegepat .qc .ca,,Artisan d'avenir,,,ACCC,,,,Public CEGEP,,"425, boulevard du Collège C.P. 1500 Rouyn-Noranda , Quebec , Canada",Gaillards & Astrelles,,,,,,"CCAA , QSSF",
Rouyn-Noranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Lévis-Lauzon,,1967,,,,,,Urban,,,cegeplevis.ca/,,La passion du savoir (French),,,"ACCC , CCAA , QSSF , AUCC ,",,,,public CEGEP,,"Lévis , Quebec , Canada",,,,,,,,
Lévis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de l'Outaouais,,1967,,,609 (including 345 teachers) 1,"about 5,000 students","333, boulevard de la Cité-des-Jeunes Gatineau , Quebec J8Y 6M4 45°27′27.64″N 75°45′59.88″W45.4576778°N 75.7666333°W45.4576778; -75.7666333","Gabrielle-Roy (Hull sector + headquarters), Felix-Leclerc (Gatineau sector) & Louis-Reboul (Hull sector)",Blue & black,,cegepoutaouais .qc .ca,,Ton premier rôle,,,"ACCC , AUCC",,,,Public CEGEP,,,The Griffons,,,,,,"CCAA , QSSF",
Cégep de Matane,,,,,,,"616 Avenue Saint Redempteur , Matane , Quebec , Canada",Urban waterfront,Blue,,www .cegep-matane .qc .ca,,Partagez nos passions!,,,ACCC,,,,Public CEGEP,,,,,,,,non-denominational,CCAA,
Matane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Rimouski,,1968,,,,,,Urban,White & gold,,www .cegep-rimouski .qc .ca,,Savoir Aimer Vivre Accueil (French),,,"ACCC , AUCC",,,,Public CEGEP,,"Rimouski , Quebec , Canada",,,,,,non-denominational,"CCAA , QSSF",
Rimouski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Rivière-du-Loup,,1969,,,,,,,,,www .cegep-rdl .qc .ca,,,,,,,,,,,"Quebec , Canada",,,,,,,,
Rivière-du-Loup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Saint-Félicien,,1971,,210,,1200,,,,,http://www.cegepstfe.ca,,,,,,,,,public CEGEP,,"Saint-Félicien , Quebec , Canada",,,,,,,,
Saint-Félicien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Saint-Hyacinthe,,June 1968,,,,,,,,,http://www.cegepsth.qc.ca,,,,,,,,,College of General and Vocational Education,,"Saint-Hyacinthe , Quebec , Canada",,,,,,,,Roger Sylvestre
Saint-Hyacinthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Saint-Jean-sur-Richelieu,,1968,,,,,,"Urban Haut-Richelieu, 30 km (19 mi) from Montreal, Quebec",Blue & gold,,www .cstjean .qc .ca,,,,,"ACCC , CCAA , QSSF , AUCC , Collège militaire royal de Saint-Jean , CBIE",,,,CEGEP,,"Saint-Jean-sur-Richelieu , Quebec , Canada 45°17′52.03″N 73°16′0.33″W / 45.2977861°N 73.2667583°W / 45.2977861; -73.2667583",,,,,,non-denominational,,
Saint-Jean-sur-Richelieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Saint-Jérôme,,,,,,,,Urban,,,www .cstj .qc .ca,,De cœur et de savoir (French),,,"ACCC , CCAA , QSSF , AUCC ,",,,,Public CEGEP,,"Saint-Jérôme , Quebec , Canada 45°46′42.60″N 74°0′4.23″W / 45.7785000°N 74.0011750°W / 45.7785000; -74.0011750",,,,,,,,
Saint-Jérôme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Saint-Laurent,,1968 ; 56 years ago ( 1968 ),,,,5000 1,"625, avenue Sainte-Croix Montreal , Quebec H4L 3X7  45.51222°N 73.67222°W45.51222; -73.67222",Urban,Blue and Red,,www .cegepsl .qc .ca,,Une institution qui a une âme,,,,,,,CEGEP,,,Patriotes (Pats),,,,,"ACCC , CCAA , Fédération Québécoise du Sport Étudiant (FQSE)",,
Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Sainte-Foy,,1967 ( 1967 ),,,,,,,,,www .csfoy .ca /accueil /,,,,,,,,,,,Sainte-Foy–Sillery–Cap-Rouge,,,,,,,,
Sainte-Foy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Sept-Îles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sept-Îles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Sherbrooke,Collège de Sherbrooke (1968-2005) 1,15 May 1968 ; 56 years ago ( 1968-05-15 ) 2,,596 (Total) 443 (Full-time) 4,100 (Total) 79 (Full-time) 4,5616 4,,"Urban, 10 acres (4.0 ha)","Blue, green",,cegepsherbrooke .qc .ca /officiel,,Imaginons la suite,,,"ACCC , CCAA , QSSF , AUCC ,",CA$5.000 million 3,,,Public,,"Sherbrooke, Quebec , Canada 45°24′36″N 71°53′06″W / 45.41000°N 71.88500°W / 45.41000; -71.88500",,,,,,,,
Sherbrooke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Sorel-Tracy,,1967,,,,,,Urban,,,www .cegepst .qc .ca,,Avoir la reussite à coeur!,,,"ACCC , CCAA , QSSF , AUCC ,",,,,Public CEGEP,,"Sorel-Tracy , Quebec , Canada 46°01′N 73°09′W / 46.01°N 73.15°W / 46.01; -73.15",Rebelles,,,,,,,
Sorel-Tracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Thetford,,1969 ( 1969 ),,,,,,,,,www .cegepthetford .ca,,,,,,,,,,,"Thetford Mines , Quebec , Canada 46°05′51″N 71°19′22″W / 46.097549°N 71.322749°W / 46.097549; -71.322749",,,,,,,,
Thetford Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Trois-Rivières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trois-Rivières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep de Victoriaville,,1967,,,,,"475, rue Notre-Dame Est Victoriaville , Quebec G6P 4B3 46°3′36.50″N 71°56′41.56″W46.0601389°N 71.9448778°W46.0601389; -71.9448778",Urban,,,www .cegepvicto .ca,,Choisis ta vie (French),,,"ACCC , CCAA , QSSF , AUCC ,",,,,Public CEGEP,,,,,,,,,,
Victoriaville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep du Vieux Montréal,,1968,,,,6100,,Urban,red and orange,"ACCC , CCAA , QSSF",www.cvm.qc.ca/,,,,,,,,,CEGEP,,"Montreal , Quebec , Canada",,,,,,,,
Ville-Marie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartier Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep Édouard-Montpetit,,1967,,,,16 000 (est.) 4,,Suburban,Red & black,,www .cegepmontpetit .ca,,Jamais trop grand pour te connaître 1,,,"CICan , 2 Fédération des Cégeps 3",,,,Public college,,"Longueuil, Quebec , Canada",Lynx,,,,,,"CCAA , QSSF",
Longueuil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep Limoilou,,1967,,,750,3 500 pre-university; 3 000 technical,,Two Urban / Suburban campuses,black & Red,"ACCC , CCAA , QSSF",www.climoilou.qc.ca/,,"Le Cégep Limoilou, le Cégep en ville",,,,,,,public CEGEP,,"1300, 8e avenue Quebec City , Quebec , Canada G1J 5L5",,,,,,,,
Cégep Marie-Victorin,,,,,,,,,,,www .collegemv .qc .ca,,,,,,,,,Public,,Montréal,,,,,,,,
Rivière-des-Prairies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cégep régional de Lanaudière,,1967,,,,,,"Joliette , L'Assomption , and Terrebonne .",Blue & Green,,www.cegep-lanaudiere.qc.ca/,,Ensemble osons maintenant! (French),,non-denominational,,,,,public Cégep,,"Lanaudière , Quebec , Canada",,,,,,"ACCC , CCAA ,",,
Champlain Regional College,,"April 7, 1971",,"463 faculty (Fall 2014, all 3 campuses combined) 1 needs update","38 management, 37 professionals, 100 support staff (Fall 2014, at all 3 campuses combined with College Administration) 1 needs update","5,026 Regular Day, 249 Continuing Education (Fall 2014 - at all 3 campuses combined) 1 needs update",,,,"CICan , CCAA , QSSF",www.crc-sher.qc.ca,,,,,,,,,College,,"Sherbrooke , Quebec , Canada",,,,,,,,Dr. Odette Côté
Collège Ahuntsic,,1967,,600,300,"10,000","9155, rue Saint-Hubert Montreal , Quebec H2M 1Y8",Urban,Green and Blue,"ACCC , CCAA , QSSF",www .collegeahuntsic .qc .ca,,,,,,,,,CEGEP,,,,,,,,,,
Ahuntsic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collège Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collège d'Alma,,1968,,150,,1200,,Urban,Blue & red,,www .collegealma .ca,,Une vie stimulante (French),,,ACCC,,,,public 1 CEGEP,,"Alma , Quebec , Canada 48°32′42″N 71°39′17″W / 48.54500°N 71.65472°W / 48.54500; -71.65472",Les Jeannois,,,,,,CCAA,
Alma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
