Name,Former names,Established,President,Academic staff,Administrative staff,Students,Address,Campus,Colours,Affiliations,Website,ASN,Motto,Motto in English,Religious affiliation,Academic affiliations,Endowment,Chancellor,Colors,Type,Chairperson,Location,Nickname,Mascot,"Chair, Board of Governors",Former name,Campuses,Affiliation,Sporting affiliations,Director
University College of the North,Keewatin Community College (1966-2004),"July 1, 2004 as University College of the North 1966 (as Keewatin Community College)",Doug Lauvstad,,Approx. 400,"Approx. 2,400","436 7th St E Box 3000 , The Pas , Manitoba , Canada  53.81972°N 101.23778°W53.81972; -101.23778",,,"AUCC , Canadian Colleges Athletic Association , Association of Canadian Community Colleges , IAU , CIS , UArctic , ACU , Campus Manitoba",www .ucn .ca,,,,,,,Edwin Jebb,,,,,,,,,,,,
University of Manitoba,,1877 ; 147 years ago ( 1877 ),Michael Benarroch,"5,252 2","3,838 2","30,370 2",,"Urban, 691 acres (280 ha), Fort Garry Campus 3",Brown and gold 4,,umanitoba.ca,,Floreat ( Latin ),Flourish (or Prosper),,"Campus Manitoba , CARL , CVU , U15 , Universities Canada",$878 million 1,Anne Mahon,,,,,,,,,,,,
Université de Saint-Boniface,,1818 ; 206 years ago ( 1818 ),Sophie Bouffard (since 2019),,,1333,,Francophone neighbourhood of St. Boniface,,,ustboniface .ca,,,,,,,,,,,,,,,,,,,
University of Winnipeg,,1938 as United College; 1967 as University of Winnipeg,Todd Mondor,340 2,489 2,"9,028 2",,Urban,,AUCC IAU ATS U Sports CWUAA UArctic Campus Manitoba CUP,uwinnipeg .ca,,Lux et Veritas Floreant,Let Light and Truth Flourish,,,$64.7 million 1,,,,,,,,,,,,,
Mount Allison University,,June 1839 ; 185 years ago ( 1839-06 ),Robert MacKinnon (Interim),129,,"2,412 2",,"College Town , 72 acres (29 ha)",Garnet & gold,,www .mta .ca,,"Litterae, Religio, Scientia","Writing, Divinity, Knowledge",United Church of Canada,"Maple League of Universities , Universities Canada , IAU , ACU , CIS , CBIE, AUS , CUP",$233 million (2023) 1,Lynn Loewen,,,,,,,,,,,,
St. Thomas University (New Brunswick),,1910; 110 years ago,M. Nauman Farooqi 3,,,"1,733 5",,Urban,Gold and Green,,www .stu .ca,,Doce Bonitatem Scientiam et Disciplinam ( Latin ),Teach me Goodness and Knowledge and Discipline 1,Roman Catholic 2,UACC CUP ICUSTA,,Hon. Graydon Nicholas,,,,,,,,,,,,
University of New Brunswick,Academy of Liberal Arts and Sciences (1785–1800) College of New Brunswick (1800–1828) King's College (1828–1859),1785 ; 239 years ago ( 1785 ),Paul Mazerolle,747 FTE,,"10,556 (Fall 2023) 3",,Urban,Red & black,,unb .ca,,Sapere aude ( Latin ),Dare to be wise,,"CARL , CUSID , CVU , Universities Canada",$ 238.328 million 1,H. Wade MacLauchlan 2,,,,,,,,,,,,
Université de Moncton,,"1963 (Merger of Collège Saint-Joseph , Collège du Sacré-Cœur and Collège Saint-Louis)",,,,5796,,Urban,Blue and Gold,,www .umoncton .ca,,Surge illuminare 1,"Arise, Shine",,,,Louise Imbeault 2,,,,,,,,,,,,
Memorial University of Newfoundland,Memorial University College,1925 ; 99 years ago ( 1925 ),Neil Bose,"1,330 3","2,474 3","19,429 4",,Urban St. John's: 279 acres (113 ha) Grenfell: 185 acres (75 ha) Harlow: 25 acres (10 ha),,,mun .ca,,Provehito in Altum ( Latin ),"""Launch forth into the deep""",,,CAD$ 159 million 1,Earl Ludlow 2,,,,,,,,,,,,
Mount Saint Vincent University,"Mount Saint Vincent Academy (1873–1925), Mount Saint Vincent College (1925–1966)",1873 ; 151 years ago ( 1873 ),Dr. Joël Dickinson,,,"4,418 2","166 Bedford Highway Halifax , Nova Scotia B3M 2J6  44.67083°N 63.64639°W44.67083; -63.64639",Suburban,blue,"AUCC , IAU , CBIE, CUP .",http://www.msvu.ca/,,Veritas ad Deum ducit ( Latin ),"""Truth Leads to God""",,,"CAN$29.98 million 1 (as of March 31, 2018)",Sister Margaret Mary Fitzpatrick,,,,,,,,,,,,
Nova Scotia College of Art and Design University,,1887 ; 137 years ago ( 1887 ),Peggy Shannon,85 (regular staff),,820 (2021) 2,,Urban,Purple and green,"UACC , CBIE, AICAD",nscad .ca,,"Head, Heart, and Hand",,,,$8.18 million (2020) 1,,,,,,,,,,,,,
Saint Francis Xavier University,Arichat College (1853–1855) St. Francis Xavier College/ Seminary (1855–1866),1853 ; 171 years ago ( 1853 ),Andrew Hakin,265,,,,Rural,Blue and White,,www .stfx .ca,,"Quaecumque Sunt Vera ( Phil 4,8) (Latin)",What so ever things are true,Roman Catholic,"Maple League of Universities , AUCC , IAU , CUSID , CBIE, CUP .",$ 140 million 1,John Peacock 2,,,,,,,,,,,,
"Saint Mary's University, Halifax",,1802 ; 222 years ago ( 1802 ),Robert Summerby-Murray,501 (2014) 3,484 (2014) 3,"6,257 (2023) 4",,"Urban, 32 ha (79 acres)",Maroon and white,,smu.ca,,Age Quod Agis (Latin),"""What You Do, Do Well""",,,$53.7 million (2021) 1,Michael Durland 2,,,,,,,,,,,,
Université Sainte-Anne,,1890 ; 134 years ago ( 1890 ) (as Collège Sainte-Anne)(Incorporated in 1892),Allister Surette,"Arts, sciences & professional programs",,632 1,"1695, Route 1 Pointe-de-l’Église  B0W 1M0 , Pointe-de-l'Église , Nova Scotia , Canada 44°15′26.57″N 66°20′42.07″W44.2573806°N 66.3450194°W44.2573806; -66.3450194",Rural area,Blue & Copper,,www .usainteanne .ca,,Fidelitas,Faithfulness,,,,Aldéa Landry,,,,,,,,,,,,
University of King's College,,1789 ; 235 years ago ( 1789 ),William Lahey 2,64,,914 4,"Halifax , Nova Scotia  44.63750°N 63.59528°W44.63750; -63.59528","Urban , 5-acre (2.02 ha)",Blue and White,"Dalhousie University , AUCC , CUP .",www .ukings .ca,,Deo Legi Regi Gregi ( Latin ),"For God, Law, King, People",,,$51.4 million,Debra Deane Little 1,,,,,,,,,,,,
Laurentian University,,"March 28, 1960",Lynn Wells,,,,"935 Ramsey Lake Road Sudbury , Ontario P3E 2C6 46°27′57.75″N 80°58′13.77″W46.4660417°N 80.9704917°W46.4660417; -80.9704917","urban green belt , 304 ha (750 acres)",Gold & blue,,laurentian .ca,,Emitte lucem et veritatem,Send forth thy light and thy truth,,"ACUFC , COU , CVU , Universities Canada",CA$ 52.8 million,Vacant,,,,,,,,,,,,
McMaster University,,23 April 1887 (137 years ago) ( 1887-04-23 ) note 1 4,David H. Farrar,997 6,"12,786 6","37,370 (2021-2022) 6",,"Urban, 152.4 hectares (377 acres)",Maroon grey 7,,www .mcmaster .ca,,Τὰ πάντα ἐν Χριστῷ συνέστηκεν ( Greek ),In Christ all things consist 1,,,CA$ 908.7 million 5,Santee Smith,,,,,,,,,,,,
Nipissing University,"Northeastern University (1960–1967), Nipissing College (1967–1992)",10 December 1992 (31 years ago) ( 1992-12-10 ),Kevin Wamsley 2,195,"1,338 (325 full-time staff)","5,400 (2021) 3",,"Suburban, 720 acres (290 ha)",4,,www .nipissingu .ca,,Latin : Integritas,Spirit of Integrity,,,C$ 11.642 million (2018) 1,Paul Cook,,,,,,,,,,,,
Ontario College of Art and Design University,Ontario School of Art (1876–86) Toronto Art School (1886–90) Central Ontario School of Art and Industrial Design (1890–1912) Ontario College of Art (1912–96) Ontario College of Art & Design (1996–2010),4 April 1876 ; 148 years ago ( 1876-04-04 ) note 1,Ana Serrano,400 2,,"4,990 (2021) 3 note 2",,Urban,,"AICAD , COU , Universities Canada",www .ocadu .ca,,,,,,C$ 19.9 million (2022) 1,Jamie Watt,,,,,,,,,,,,
Queen's University at Kingston,Queen's College at Kingston (1841–1912) 2,16 October 1841 (182 years ago) ( 1841-10-16 ) 2,,"3,925 6","2,824 (2022)","33,842 (2022) 7",,Urban Main campus: 40 hectares (99 acres) West campus: 27 hectares (67 acres) 8,"Blue, Gold, and Red 9",,queensu .ca,,Sapientia et Doctrina Stabilitas ( Latin ),Wisdom and knowledge shall be the stability of thy times 3,,,CA$ 1.409 billion (2022) 4,Murray Sinclair,,,,,,,,,,,,
Royal Military College of Canada,,1876,,,200,,,41-hectare peninsula east of downtown Kingston ( Point Frederick ); Waterfront CFB Kingston,,,www .rmc-cmr .ca /en,,"Truth, Duty, Valour ( Verité, Devoir, Vaillance )",,,ACUFC CMA COU CUSID CVU DRDC ISMS PPC UArctic Universities Canada,,Bill Blair ( ex officio as Defence Minister ),,,,,,,,,,,,
Toronto Metropolitan University,Ryerson Institute of Technology (1948–1966) Ryerson Polytechnical Institute (1966–1993) Ryerson Polytechnic University (1993–2001) Ryerson University (2001–2022),"September 16, 1948 ; 75 years ago ( 1948-09-16 ) note 1",Mohamed Lachemi 4,,,,,Urban ; 121 acres (49 ha) 7,Blue and gold,,www .torontomu .ca,,Mente et artificio ( Latin ),With mind and skill 1,,,C$136.285 million 2,Janice Fukakusa 3,,,,,,,,,,,,
Trent University,,1964 ; 60 years ago ( 1964 ),Leo Groarke,251,,,,Urban,Green and white 1,,trentu .ca,,Nunc cognosco ex parte ( Latin ),Now I know in part,,"COU , Universities Canada",$54 million,Stephen Stohn,,,,,,,,,,,,
Université de Hearst,,"1953 as Séminaire de Hearst, 2021 as an independent university",Lyne Fecteau,30,,280,"S. P. 580, 60, 9e Rue Hearst  P0L 1N0 , Hearst , Kapuskasing and Timmins , Ontario , Canada  83°39′55.58″W49.70750°N 83.6654389°W49.70750; -83.6654389",Urban,,,www .uhearst .ca,,ut cognoscante,That they might know You,,"ACUFC , Universities Canada",,,,,,,,,,,,,,
Université de l'Ontario français,,9 April 2018 ; 6 years ago ( 2018-04-09 ) 1,Pierre Ouellette 2 3 4,,,,,,,,uontario .ca,,,,,,,,,,,,,,,,,,,
University of Sudbury,,1913 Collège du Sacré-Coeur de Sudbury. Subsequently named the University/Université of Sudbury in 1957.,Dr. Serge Miville,,,,"935 Ramsey Lake Road Sudbury , Ontario P3E 2C6  46.4662°N 80.9731°W46.4662; -80.9731",Urban,Blue & Red,,http://www.usudbury.ca/,,"Latin: Lucerna ardens et lucens English: A torch of glowing radiance ( Jn V , 35)",,,"ACUFC , Universities Canada",,Gérald Michel,,,,,,,,,,,,
University of Guelph,,"May 8, 1964 (60 years ago) As constituents : OAC : (1874) Macdonald Institute: (1903) OVC : (1922)",Charlotte A.B. Yates,830,"3,100","29,923",,"Urban 589 ha (1,455 acres) 3",,,www .uoguelph .ca,,Latin : Rerum cognoscere causas,"""To learn the reasons of realities""",,,CA$445 million (2023) 1,Mary Anne Chambers 2,,,,,,,,,,,,
Ontario Tech University,,2002,Steven A. Murphy,341 2,517 2,"11,050 (2022) 3 note 1",,Urban / suburban,"Dark blue, light blue, orange 4",,ontariotechu .ca,,Cogitando et Agendo Ducemus,By thinking and doing we shall lead,,"COU , Universities Canada",C$ 23.8 million 1,Mitch Frazer,,,,,,,,,,,,
